name,r,g,b
yellow,0.8068557326063852,0.5870405614730204,0.06476825690253259
orange,0.941544449192814,0.3305233195033011,0.06476871737712024
blue,0.4388039173421826,0.655114764339608,0.600663164174057
black,0.6663555697032882,0.5863942693427217,0.4465014525640343
red,0.9927778010921665,0.11038315415159251,0.046052376246602675
green,0.5954866319095056,0.7987438377055128,0.08569843898693344
